
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

	<CurrencyName> #tm_ruble									// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
		<Currency> MoneyRuble1, 	1							// Currency Classname, Currency Money Value
		<Currency> MoneyRuble5, 	5
		<Currency> MoneyRuble10, 	10
		<Currency> MoneyRuble25, 	25
		<Currency> MoneyRuble50, 	50
		<Currency> MoneyRuble100, 	100


<Trader> Consume Trader										// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables									// Category Name
		CaninaBerry,								*,		1,			-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,								*,		1,			-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,										*,		10,			-1	// Buyvalue -1 means it can not be bought
		Kiwi,										*,		10,			-1	// Sellvalue -1 means it can not be selled
		JumpsuitJacket_Red,							*,		26,		6
		JumpsuitJacket_Blue,						*,		26,		6
		JumpsuitJacket_Gray,						*,		26,		6
		JumpsuitJacket_Green,						*,		26,		6
		BomberJacket_Maroon,						*,		26,		6
		BomberJacket_SkyBlue,						*,		26,		6
		BomberJacket_Blue,							*,		26,		6
		BomberJacket_Grey,							*,		26,		6
		BomberJacket_Brown,							*,		26,		6
		BomberJacket_Black,							*,		28,		7
		BomberJacket_Olive,							*,		30,		7
		QuiltedJacket_Orange,						*,		26,		6
		QuiltedJacket_Yellow,						*,		26,		6
		QuiltedJacket_Red,							*,		26,		6
		QuiltedJacket_Violet,						*,		26,		6
		QuiltedJacket_Blue,							*,		26,		6
		QuiltedJacket_Grey,							*,		26,		6
		QuiltedJacket_Black,						*,		28,		7
		QuiltedJacket_Green,						*,		30,		7
		PrisonUniformJacket,						*,		28,		7
		PoliceJacketOrel,							*,		32,		8
		PoliceJacket,								*,		34,		8
		ParamedicJacket_Crimson,					*,		36,		9
		ParamedicJacket_Blue,						*,		36,		9
		ParamedicJacket_Green,						*,		36,		9
		HikingJacket_Red,							*,		36,		9
		HikingJacket_Blue,							*,		38,		9
		HikingJacket_Black,							*,		38,		9
		HikingJacket_Green,							*,		40,		10
		Raincoat_Pink,								*,		70,		15
		Raincoat_Orange,							*,		70,		15
		Raincoat_Yellow,							*,		70,		15
		Raincoat_Red,								*,		70,		15
		Raincoat_Blue,								*,		70,		15
		Raincoat_Black,								*,		80,		20
		Raincoat_Green,								*,		100,	25
		TTsKOJacket_Camo,							*,		100,	25
		BDUJacket,									*,		100,	25
		HuntingJacket_Winter,						*,		120,	35
		HuntingJacket_Brown,						*,		120,	35
		HuntingJacket_Autumn,						*,		120,	35
		HuntingJacket_Spring,						*,		120,	35
		HuntingJacket_Summer,						*,		120,	35
		M65Jacket_Tan,								*,		130,	40
		M65Jacket_Black,							*,		130,	40
		M65Jacket_Khaki,							*,		130,	40
		M65Jacket_Olive,							*,		130,	40
		GorkaEJacket_Autumn,						*,		140,	45
		GorkaEJacket_Flat,							*,		140,	45
		GorkaEJacket_PautRev,						*,		140,	45
		GorkaEJacket_Summer,						*,		140,	45
		USMCJacket_Desert,							*,		140,	45
		USMCJacket_Woodland,						*,		155,	55
		NBCJacketGray,								*,		250,	80
		NBCJacketYellow,							*,		250,	80

	<Category> Skirts & Dresses
		Skirt_Yellow,								*,		30,		10
		Skirt_Red,									*,		30,		10
		Skirt_Blue,									*,		30,		10
		Skirt_White,								*,		30,		10
		MiniDress_Pink,								*,		35,		10
		MiniDress_PinkChecker,						*,		35,		10
		MiniDress_RedChecker,						*,		35,		10
		MiniDress_BlueChecker,						*,		35,		10
		MiniDress_BlueWithDots,						*,		35,		10
		MiniDress_WhiteChecker,						*,		35,		10
		MiniDress_BrownChecker,						*,		35,		10
		MiniDress_GreenChecker,						*,		35,		10
		NurseDress_Blue,							*,		40,		10
		NurseDress_White,							*,		40,		10

	<Category> Pants
		MedicalScrubsPants_Blue,					*,		10,		2
		MedicalScrubsPants_White,					*,		10,		2
		MedicalScrubsPants_Green,					*,		10,		2
		TrackSuitPants_Red,							*,		15,		3
		TrackSuitPants_LightBlue,					*,		15,		3
		TrackSuitPants_Blue,						*,		15,		3
		TrackSuitPants_Black,						*,		15,		3
		TrackSuitPants_Green,						*,		15,		3
		PrisonUniformPants,							*,		17,		4
		Breeches_Pink,								*,		20,		5
		Breeches_Red,								*,		20,		5
		Breeches_Blue,								*,		20,		5
		Breeches_White,								*,		20,		5
		Breeches_Beetcheck,							*,		20,		5
		Breeches_Beige,								*,		21,		5
		Breeches_Browncheck,						*,		21,		5
		Breeches_Black,								*,		22,		5
		Breeches_Blackcheck,						*,		22,		5
		Breeches_Green,								*,		24,		6
		SlacksPants_Blue,							*,		20,		5
		SlacksPants_White,							*,		20,		5
		SlacksPants_LightGrey,						*,		20,		5
		SlacksPants_DarkGrey,						*,		20,		5
		SlacksPants_Beige,							*,		20,		5
		SlacksPants_Brown,							*,		21,		5
		SlacksPants_Black,							*,		22,		5
		SlacksPants_Khaki,							*,		24,		6
		CanvasPantsMidi_Red,						*,		24,		6
		CanvasPantsMidi_Violet,						*,		24,		6
		CanvasPantsMidi_Blue,						*,		24,		6
		CanvasPantsMidi_Grey,						*,		24,		6
		CanvasPantsMidi_Beige,						*,		25,		6	
		CanvasPants_Red,							*,		26,		6
		CanvasPants_Violet,							*,		26,		6
		CanvasPants_Blue,							*,		26,		6
		CanvasPants_Grey,							*,		26,		6
		CanvasPants_Beige,							*,		28,		6
		JumpsuitPants_Red,							*,		28,		6
		JumpsuitPants_Blue,							*,		28,		6
		JumpsuitPants_Grey,							*,		28,		6
		JumpsuitPants_Green,						*,		28,		6
		PolicePants,								*,		28,		6
		ParamedicPants_Crimson,						*,		35,		8
		ParamedicPants_Blue,						*,		35,		8
		ParamedicPants_Green,						*,		35,		8
		FirefightersPants_Beige,					*,		35,		8
		FirefightersPants_Black,					*,		35,		8
		CargoPants_Blue,							*,		35,		8
		CargoPants_Grey,							*,		35,		8
		CargoPants_Beige,							*,		35,		8
		CargoPants_Black,							*,		35,		8
		CargoPants_Green,							*,		35,		8
		ShortJeans_Red,								*,		38,		8
		ShortJeans_Blue,							*,		38,		8
		ShortJeans_Darkblue,						*,		38,		8
		ShortJeans_Brown,							*,		38,		8
		ShortJeans_Black,							*,		40,		10
		ShortJeans_Green,							*,		42,		10
		Jeans_Blue,									*,		40,		10
		Jeans_BlueDark,								*,		40,		10
		Jeans_Grey,									*,		40,		10
		Jeans_Brown,								*,		40,		10
		Jeans_Black,								*,		42,		10
		Jeans_Green,								*,		45,		12	
		TTSKOPants,									*,		55,		15
		BDUPants,									*,		65,		18
		USMCPants_Desert,							*,		65,		18
		USMCPants_Woodland,							*,		70,		20
		PolicePantsOrel,							*,		70,		20
		HunterPants_Winter,							*,		90,		25
		HunterPants_Brown,							*,		100,	30
		HunterPants_Spring,							*,		100,	30
		HunterPants_Autumn,							*,		100,	30
		HunterPants_Summer,							*,		100,	30
		GorkaPants_Flat,							*,		130,	40
		GorkaPants_PautRev,							*,		130,	40
		GorkaPants_Autumn,							*,		130,	40
		GorkaPants_Summer,							*,		130,	40
		NBCPantsGray,								*,		200,	65
		NBCPantsYellow,								*,		200,	65
	
	<Category> Shoes & Boots
		AthleticShoes_Blue,		*,		17,		4
		AthleticShoes_Grey,		*,		20,		5
		AthleticShoes_Brown,	*,		20,		5
		AthleticShoes_Black,	*,		23,		5
		AthleticShoes_Green,	*,		23,		5
		JoggingShoes_Violet,	*,		30,		7
		JoggingShoes_Red,		*,		30,		7
		JoggingShoes_Blue,		*,		30,		7
		JoggingShoes_White,		*,		30,		7
		JoggingShoes_Black,		*,		30,		7
		Sneakers_Red,			*,		30,		7
		Sneakers_White,			*,		30,		7
		Sneakers_Gray,			*,		30,		7
		Sneakers_Black,			*,		31,		7
		Sneakers_Green,			*,		32,		7
		DressShoes_White,		*,		32,		7
		DressShoes_Brown,		*,		35,		8
		DressShoes_Black,		*,		35,		8
		DressShoes_Beige,		*,		35,		8
		DressShoes_Sunburst,	*,		35,		8
		HikingBootsLow_Blue,	*,		45,		12
		HikingBootsLow_Grey,	*,		45,		12
		HikingBootsLow_Beige,	*,		48,		13
		HikingBootsLow_Black,	*,		50,		14
		WorkingBoots_Yellow,	*,		55,		12
		WorkingBoots_Grey,		*,		60,		15
		WorkingBoots_Beige,		*,		60,		15
		WorkingBoots_Brown,		*,		60,		15
		WorkingBoots_Green,		*,		65,		17
		HikingBoots_Brown,		*,		75,		20
		HikingBoots_Black,		*,		75,		20
		CombatBoots_Grey,		*,		80,		22
		CombatBoots_Beige,		*,		80,		22
		CombatBoots_Brown,		*,		80,		22
		CombatBoots_Black,		*,		80,		22
		CombatBoots_Green,		*,		80,		22
		JungleBoots_Beige,		*,		85,		24
		JungleBoots_Brown,		*,		85,		24
		JungleBoots_Black,		*,		85,		24
		JungleBoots_Olive,		*,		85,		24
		JungleBoots_Green,		*,		85,		24
		Wellies_Grey,			*,		85,		25
		Wellies_Brown,			*,		85,		25
		Wellies_Black,			*,		85,		25
		Wellies_Green,			*,		90,		28
		TTSKOBoots,				*,		100,	35
		MilitaryBoots_Bluerock,	*,		105,	35
		MilitaryBoots_Beige,	*,		110,	35
		MilitaryBoots_Brown,	*,		110,	35
		MilitaryBoots_Black,	*,		110,	35
		NBCBootsGray,			*,		150,	50
		NBCBootsYellow,			*,		150,	50

	<Category> Ghillie
		// Keep in Mind that Players can also 
		// craft Ghillie Clothing and sell them!
		GhillieAtt_Mossy,		*,		220,	70
		GhillieAtt_Tan,			*,		220,	70
		GhillieAtt_Woodland,	*,		220,	70
		GhillieHood_Mossy,		*,		220,	70
		GhillieHood_Tan,		*,		220,	70
		GhillieHood_Woodland,	*,		220,	70
		GhillieBushrag_Mossy,	*,		400,	130
		GhillieBushrag_Tan,		*,		400,	130
		GhillieBushrag_Woodland,*,		400,	130
		GhillieTop_Mossy,		*,		600,	200
		GhillieTop_Tan,			*,		600,	200
		GhillieTop_Woodland,	*,		600,	200
		GhillieSuit_Mossy,		*,		2500,	300
		GhillieSuit_Tan,		*,		2500,	300
		GhillieSuit_Woodland,	*,		2500,	300
		
	<Category> Collectables Wanted
		SantasBeard,	        *,		-1,	1000
		SantasHat,			    *,		-1,	1000
		PumpkinHelmet,		    *,		-1,	1000
		WitchHat,		        *,		-1,	2000
		Cauldron,		        *,		-1,	3000
		CrookedNose,		    *,		-1,	300
		WitchHood_Black,		*,		-1,	1000
		WitchHood_Brown,		*,		-1,	1000
		WitchHood_Red,		    *,		-1,	1000
		TF_Foil_hat,			*,		-1,	1000
		HuntingBag_Hannah,		*,		-1,	5000
		MilitaryBoots_Redpunk,	*,		-1,	1000
		DarkMotoHelmet_YellowScarred,	*,	-1,	5000

	<Category> Holster & Pouches
		ChestHolster,		            *,		600,	300
		LeatherKnifeSheath,		        *,		600,	300
		NylonKnifeSheath,		        *,		600,	300
		PlateCarrierHolster,		    *,		600,	300
		PlateCarrierHolster_Black,		*,		600,	300
		PlateCarrierHolster_Camo,		*,		600,	300
		PlateCarrierHolster_Green,		*,		600,	300
		PlateCarrierPouches,		    *,		1000,	500
		PlateCarrierPouches_Black,		*,		1000,	500
		PlateCarrierPouches_Camo,		*,		1000,	500
		PlateCarrierPouches_Green,		*,		1000,	500
		
	<Category> Belt
		CivilianBelt,			*,		100,	30
		MilitaryBelt,			*,		100,	30
		
	<Category> Bags
		ChildBag_Red,			*,		20,		5
		ChildBag_Blue,			*,		20,		5
		ChildBag_Green,			*,		25,		6
		DryBag_Yellow,			*,		30,		8
		DryBag_Orange,			*,		30,		8
		DryBag_Red,				*,		30,		8
		DryBag_Blue,			*,		30,		8
		DryBag_Black,			*,		35,		8
		DryBag_Green,			*,		40,		10
		TaloonBag_Orange,		*,		50,		10
		TaloonBag_Violet,		*,		50,		10
		TaloonBag_Blue,			*,		50,		10
		TaloonBag_Green,		*,		70,		20
		SmershBag,				*,		100,	30
		WaterproofBag_Yellow,	*,		100,	30
		WaterproofBag_Orange,	*,		100,	30
		WaterproofBag_Green,	*,		110,	30
		AssaultBag_Black,		*,		110,	30
		AssaultBag_Green,		*,		110,	30
		AssaultBag_Ttsko,		*,		130,	30
		HuntingBag,				*,		130,	30
		TortillaBag,			*,		180,	60
		CoyoteBag_Brown,		*,		180,	60
		CoyoteBag_Green,		*,		180,	60
		MountainBag_Orange,		*,		300,	80
		MountainBag_Red,		*,		300,	80
		MountainBag_Blue,		*,		300,	80
		MountainBag_Green,		*,		360,	100
		AliceBag_Black,			*,		400,	150
		AliceBag_Green,			*,		400,	150
		AliceBag_Camo,			*,		500,	220

	<Category> We Buy Leather
		TannedLeather,			        *,		-1,		150
		LeatherGloves_Beige,			*,		-1,		2650
		LeatherGloves_Black,			*,		-1,		2850
		LeatherGloves_Brown,			*,		-1,		2750
		LeatherGloves_Natural,			*,		-1,		2600
		LeatherHat_Beige,			    *,		-1,		2650
		LeatherHat_Black,			    *,		-1,		2850
		LeatherHat_Brown,			    *,		-1,		2750
		LeatherHat_Natural,			    *,		-1,		2600
		LeatherShirt_Natural,			*,		-1,		3500
		LeatherStorageVest_Beige,		*,		-1,		3550
		LeatherStorageVest_Black,		*,		-1,		3850
		LeatherStorageVest_Brown,		*,		-1,		3750
		LeatherStorageVest_Natural,		*,		-1,		3500
		LeatherJacket_Beige,			*,		-1,		2550
		LeatherJacket_Black,			*,		-1,		2850
		LeatherJacket_Brown,			*,		-1,		2750
		LeatherJacket_Natural,			*,		-1,		2500
		LeatherPants_Beige,			    *,		-1,		2550
		LeatherPants_Black,			    *,		-1,		2850
		LeatherPants_Brown,			    *,		-1,		2750
		LeatherPants_Natural,			*,		-1,		2500
		LeatherShoes_Beige,			    *,		-1,		2750
		LeatherShoes_Black,			    *,		-1,		2850
		LeatherShoes_Brown,			    *,		-1,		2750
		LeatherShoes_Natural,			*,		-1,		2500
		CourierBag,			            *,		-1,		1000
		FurCourierBag,			        *,		-1,		1650
		FurImprovisedBag,			    *,		-1,		2575
		ImprovisedBag,			        *,		-1,		1450
		LeatherSack_Beige,			    *,		-1,		1950
		LeatherSack_Black,			    *,		-1,		1950
		LeatherSack_Brown,			    *,		-1,		1950
		LeatherSack_Natural,			*,		-1,		1800
		
	<Category> Viking Clothes
		rag_viking_leather_vest,        *,    -1,  1550
		rag_viking_leather_pants,       *,    -1,  1550
		rag_viking_leather_jacket,      *,    -1,  1550
		rag_viking_leather_gloves,      *,    -1,  1550
		rag_viking_leatherbag,          *,    -1,  1550
		rag_viking_belt,                *,    -1,  1550
		rag_viking_pouch_1,             *,    -1,  1550
		rag_viking_pouch_2,             *,    -1,  1550
		rag_viking_pouch_3,             *,    -1,  1550
		rag_viking_holster,             *,    -1,  1550
		rag_viking_raven,               *,    -1,  1550
		rag_viking_boots,               *,    -1,  1550
		rag_viking_helmet,              *,    -1,  1550
		rag_viking_helmet2,             *,    -1,  1550
		rag_viking_helmet3,             *,    -1,  1550
		rag_viking_helmet4,             *,    -1,  1550
		rag_viking_helmet5,             *,    -1,  1550
		rag_viking_bracer,              *,    -1,  1550		

	<Category> Windstrides Clothing
		PMK_5A_Gas_Mask,				*,		2000,	90
		Plague_Mask,					*,		2000,	90
		Ragged_Eyepatch,				*,		700,	90
		Eyepatch,						*,		700,	90
		Fingerless_Gloves,				*,		700,	90
		Fingerless_Gloves_Brown,		*,		700,	90
		Fingerless_Gloves_Wool,			*,		700,	90
		Fingerless_Gloves_Wool_Grey,	*,		700,	90
		Fingerless_Gloves_Wool_Black,	*,		700,	90
		Blue_Leggings,					*,		700,	90
		Latex_Leggings,					*,		700,	90
		Adidas_Leggings,				*,		700,	90
		Red_Leggings,					*,		700,	90
		Purple_Leggings,				*,		700,	90
		Latex_White_Leggings,			*,		700,	90
		Fleece_Grey_Leggings,			*,		700,	90
		Galife_Pants_Olive,				*,		700,	90
		Galife_Pants_Navy,				*,		700,	90
		Leather_Cloak_down,				*,		700,	90
		Poncho_Red_Checkered,			*,		700,	90
		Poncho_Blue_Checkered,			*,		700,	90
		Poncho_Yellow_Checkered,		*,		700,	90
		Poncho_Brown,					*,		700,	90
		Poncho_Green,					*,		700,	90
		Poncho_White,					*,		700,	90
		Poncho_Red,						*,		700,	90
		Poncho_Black,					*,		700,	90
		Poncho_BlackAndWhite,			*,		700,	90
		Poncho_BlackAndWhite2,			*,		700,	90
		Military_Sweater,				*,		700,	90
		Military_Sweater_Red,			*,		700,	90
		Military_Sweater_Blue,			*,		700,	90
		Military_Sweater_Green,			*,		700,	90
		Military_Sweater_Black,			*,		700,	90
		Military_Sweater_White,			*,		700,	90
		High_Knee_Sneakers,				*,		700,	90
		High_Knee_Sneakers_Black,		*,		700,	90
		Shemagh_Brown,					*,		700,	90
		Shemagh_Green,					*,		700,	90
		Shemagh_Red,					*,		700,	90
		Shemagh_White,					*,		700,	90
		Shemagh_Black,					*,		700,	90
		Shemagh_Facemask_Brown,			*,		600,	80
		Shemagh_Facemask_Green,			*,		600,	80
		Shemagh_Facemask_Red,			*,		600,	80
		Shemagh_Facemask_White,			*,		600,	80
		Shemagh_Facemask_Black,			*,		600,	80
		Shemagh_Scarf_Brown,			*,		600,	80
		Shemagh_Scarf_Green,			*,		600,	80
		Shemagh_Scarf_Red,				*,		600,	80
		Shemagh_Scarf_White,			*,		600,	80
		Shemagh_Scarf_Black,			*,		600,	80
		Layered_Shirt_Base,				*,		700,	90
		Layered_Shirt_White,			*,		700,	90
		Layered_Shirt_Cheburashka,		*,		700,	90
		Layered_Shirt_Courage,			*,		700,	90
		Layered_Shirt_Lily,				*,		700,	90
		Kneepads_Jeans_Base,			*,		700,	90
		Kneepads_Jeans_Black,			*,		700,	90
		Winter_Parka_Base,				*,		700,	90
		Winter_Parka_White,				*,		700,	90
		Winter_Parka_Green,				*,		700,	90
		Wool_GreatCoat_Navy,			*,		700,	90
		Wool_GreatCoat_Olive,			*,		700,	90
		Wool_GreatCoat_Grey,			*,		700,	90
		Defender_Vest_Classic,			*,		2000,	400
		Defender_Vest_Black,			*,		2000,	400
		Medium_Sleeves_Shirt,			*,		700,	90
		Medium_Sleeves_Shirt_Red,		*,		700,	90
		Medium_Sleeves_Shirt_Blue,		*,		700,	90
		FlipFlops_Colorbase,			*,		700,	90
		Slouch_Hat_Brown,				*,		700,	90
		High_Knee_Sneakers,				*,		700,	90
		High_Knee_Sneakers_Black,		*,		700,	90
		SK8_Sneakers_Black,				*,		700,	90
		SK8_Sneakers_FullBlack,			*,		700,	90
		SK8_Sneakers_Blue,				*,		700,	90
		Kirza_Boots,					*,		700,	90
		Round_Glasses,					*,		700,	90
		Round_Glasses_Black,			*,		700,	90
		Skinny_Jeans_Black,				*,		700,	90
		Skinny_Jeans_Blue,				*,		700,	90
		Tactical_Leg_Holster_Black,		*,		700,	90
		Scarf_Brown,					*,		700,	90
		Scarf_ColorPalette1,			*,		700,	90
		Scarf_Blue,						*,		700,	90

	<Category> Windstrides Backpack
		Canvas_Backpack_Base,			*,		700,	90
		Canvas_Backpack_Black,			*,		700,	90
		Canvas_Backpack_White,			*,		700,	90
		Canvas_Backpack_Red,			*,		700,	90
		Canvas_Backpack_Blue,			*,		700,	90
		Canvas_Backpack_Purple,			*,		700,	90
		Golden_Winged_Pin,				*,		700,	90
		Button_Pin_Radioactive,			*,		700,	90
		Button_Pin_Daisy,				*,		700,	90
		Sheriff_Badge,					*,		700,	90
	
<Trader> Vehicles Trader
	<Category> Vehicle Repair
		HeadlightH7_Box,				*,		30,		15
		SparkPlug,						*,		60,		40
		CanisterGasoline,				*,		25000,	1200
		Blowtorch,						*,		200,	50
		GlowPlug,						*,		120,	60
		CarBattery,						*,		200,	50
		TruckBattery,					*,		280,	100
		CarRadiator,					*,		500,	100
		TireRepairKit,					*,		220,	100
		Wrench,							*,		200,	50
		LugWrench,						*,		30,		10
		PipeWrench,						*,		60,		15
		HydraulicJack,					*,		520,	200
		PowerGenerator,					*,		3000,	1000
		BatteryCharger,					*,		40,		20
		CarTent,						*,		5000,	700
		Roadflare,						*,		4,		2
		TrafficCone,					*,		520,	200
		
	<Category> Vanilla Vehicles
		OffroadHatchback,					V,		14000,	8000	// Use VNK instead of V as Quantity to not give a Vehicle Key when bought.
		OffroadHatchback_Blue,				V,		14000,	8000
		OffroadHatchback_White,				V,		14000,	8000
		Hatchback_02,						V,		16000,	9600
		Hatchback_02_Blue,					V,		16000,	9600
		Hatchback_02_Black,					V,		16000,	9600
		Sedan_02,							V,		18000,	10200
		Sedan_02_Red,						V,		18000,	10200
		Sedan_02_Grey,						V,		18000,	10200
		CivilianSedan,						V,		20000,	11000
		CivilianSedan_Wine,					V,		20000,	11000
		CivilianSedan_Black,				V,		20000,	11000
		Truck_01_Covered,					V,		80000,	65000
        Truck_01_Covered_Blue,				V,		80000,	65000
        Truck_01_Covered_Orange,			V,		80000,	65000
		Offroad_02,             			V,		90000,	75000
	
	<Category> Vanilla Vehicle Parts
		HeadlightH7_Box,					*,		30,		15
		SparkPlug,							*,		60,		40
		EngineOil,							*,		70,		40
		CarBattery,							*,		100,	50
		Blowtorch,							*,		200,	50
		TruckBattery,						*,		180,	100
		CarRadiator,						*,		500,	100
		TireRepairKit,						*,		220,	100
		HatchbackHood,						*,		300,	100
		HatchbackHood_Blue,					*,		300,	100
		HatchbackHood_White,				*,		300,	100
		HatchbackHood_GreenRust,			*,		300,	100
		HatchbackHood_BlueRust,				*,		300,	100
		HatchbackHood_WhiteRust,			*,		300,	100
		HatchbackTrunk,						*,		380,	130
		HatchbackTrunk_Blue,				*,		380,	130
		HatchbackTrunk_White,				*,		380,	130
		HatchbackTrunk_GreenRust,			*,		380,	130
		HatchbackTrunk_BlueRust,			*,		380,	130
		HatchbackTrunk_WhiteRust,			*,		380,	130
		HatchbackDoors_Driver,				*,		450,	160
		HatchbackDoors_Driver_Blue,			*,		450,	160
		HatchbackDoors_Driver_White,		*,		450,	160
		HatchbackDoors_Driver_GreenRust,	*,		450,	160
		HatchbackDoors_Driver_BlueRust,		*,		450,	160
		HatchbackDoors_Driver_WhiteRust,	*,		450,	160
		HatchbackDoors_CoDriver,			*,		450,	160
		HatchbackDoors_CoDriver_Blue,		*,		450,	160
		HatchbackDoors_CoDriver_White,		*,		450,	160
		HatchbackDoors_CoDriver_GreenRust,	*,		450,	160
		HatchbackDoors_CoDriver_BlueRust,	*,		450,	160
		HatchbackDoors_CoDriver_WhiteRust,	*,		450,	160
		HatchbackWheel,						*,		500,	100
		Hatchback_02_Hood,				*,		300,	100
		Hatchback_02_Hood_Black,		*,		300,	100
		Hatchback_02_Hood_Blue,			*,		300,	100
		Hatchback_02_Hood_RedRust,		*,		300,	100
		Hatchback_02_Hood_BlackRust,	*,		300,	100
		Hatchback_02_Hood_BlueRust,		*,		300,	100
		Hatchback_02_Trunk,				*,		380,	130
		Hatchback_02_Trunk_Black,		*,		380,	130
		Hatchback_02_Trunk_Blue,		*,		380,	130
		Hatchback_02_Trunk_RedRust,		*,		380,	130
		Hatchback_02_Trunk_BlackRust,	*,		380,	130
		Hatchback_02_Trunk_BlueRust,	*,		380,	130
		Hatchback_02_Door_1_1,			*,		450,	160
		Hatchback_02_Door_1_1_Black,	*,		450,	160
		Hatchback_02_Door_1_1_Blue,		*,		450,	160
		Hatchback_02_Door_1_1_RedRust,	*,		450,	160
		Hatchback_02_Door_1_1_BlackRust,*,		450,	160
		Hatchback_02_Door_1_1_BlueRust,	*,		450,	160
		Hatchback_02_Door_1_2,			*,		450,	160
		Hatchback_02_Door_1_2_Black,	*,		450,	160
		Hatchback_02_Door_1_2_Blue,		*,		450,	160
		Hatchback_02_Door_1_2_RedRust,	*,		450,	160
		Hatchback_02_Door_1_2_BlackRust,*,		450,	160
		Hatchback_02_Door_1_2_BlueRust,	*,		450,	160
		Hatchback_02_Door_2_1,			*,		450,	160
		Hatchback_02_Door_2_1_Black,	*,		450,	160
		Hatchback_02_Door_2_1_Blue,		*,		450,	160
		Hatchback_02_Door_2_1_RedRust,	*,		450,	160
		Hatchback_02_Door_2_1_BlackRust,*,		450,	160
		Hatchback_02_Door_2_1_BlueRust,	*,		450,	160
		Hatchback_02_Door_2_2,			*,		450,	160
		Hatchback_02_Door_2_2_Black,	*,		450,	160
		Hatchback_02_Door_2_2_Blue,		*,		450,	160
		Hatchback_02_Door_2_2_RedRust,	*,		450,	160
		Hatchback_02_Door_2_2_BlackRust,*,		450,	160
		Hatchback_02_Door_2_2_BlueRust,	*,		450,	160
		Hatchback_02_Wheel,				*,		500,	100
		Sedan_02_Hood,					*,		300,	100
		Sedan_02_Hood_Red,				*,		300,	100
		Sedan_02_Hood_Grey,				*,		300,	100
		Sedan_02_Hood_YellowRust,		*,		300,	100
		Sedan_02_Hood_RedRust,			*,		300,	100
		Sedan_02_Hood_GreyRust,			*,		300,	100
		Sedan_02_Trunk,					*,		450,	150
		Sedan_02_Trunk_Red,				*,		450,	150
		Sedan_02_Trunk_Grey,			*,		450,	150
		Sedan_02_Trunk_YellowRust,		*,		450,	150
		Sedan_02_Trunk_RedRust,			*,		450,	150
		Sedan_02_Trunk_GreyRust,		*,		450,	150
		Sedan_02_Door_1_1,				*,		450,	160
		Sedan_02_Door_1_1_Red,			*,		450,	160
		Sedan_02_Door_1_1_Grey,			*,		450,	160
		Sedan_02_Door_1_1_YellowRust,	*,		450,	160
		Sedan_02_Door_1_1_RedRust,		*,		450,	160
		Sedan_02_Door_1_1_GreyRust,		*,		450,	160
		Sedan_02_Door_1_2,				*,		450,	160
		Sedan_02_Door_1_2_Red,			*,		450,	160
		Sedan_02_Door_1_2_Grey,			*,		450,	160
		Sedan_02_Door_1_2_YellowRust,	*,		450,	160
		Sedan_02_Door_1_2_RedRust,		*,		450,	160
		Sedan_02_Door_1_2_GreyRust,		*,		450,	160
		Sedan_02_Door_2_1,				*,		450,	160
		Sedan_02_Door_2_1_Red,			*,		450,	160
		Sedan_02_Door_2_1_Grey,			*,		450,	160
		Sedan_02_Door_2_1_YellowRust,	*,		450,	160
		Sedan_02_Door_2_1_RedRust,		*,		450,	160
		Sedan_02_Door_2_1_GreyRust,		*,		450,	160
		Sedan_02_Door_2_2,				*,		450,	160  
		Sedan_02_Door_2_2_Red,			*,		450,	160  
		Sedan_02_Door_2_2_Grey,			*,		450,	160  
		Sedan_02_Door_2_2_YellowRust,	*,		450,	160  
		Sedan_02_Door_2_2_RedRust,		*,		450,	160  
		Sedan_02_Door_2_2_GreyRust,		*,		450,	160  
		Sedan_02_Wheel,					*,		500,	100
		CivSedanHood,						*,		400,	140
		CivSedanHood_Wine,					*,		400,	140
		CivSedanHood_Black,					*,		400,	140
		CivSedanHood_WhiteRust,				*,		400,	140
		CivSedanHood_WineRust,				*,		400,	140
		CivSedanHood_BlackRust,				*,		400,	140
		CivSedanTrunk,						*,		450,	150
		CivSedanTrunk_Wine,					*,		450,	150
		CivSedanTrunk_Black,				*,		450,	150
		CivSedanTrunk_WhiteRust,			*,		450,	150
		CivSedanTrunk_WineRust,				*,		450,	150
		CivSedanTrunk_BlackRust,			*,		450,	150
		CivSedanDoors_Driver,				*,		500,	180
		CivSedanDoors_Driver_Wine,			*,		500,	180
		CivSedanDoors_Driver_Black,			*,		500,	180
		CivSedanDoors_Driver_WhiteRust,		*,		500,	180
